Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification/SDGs,ARB Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Date Issued,Retirement Year,ACR Retirement Data,Updated 12-31-23,Total Credits Retired:,"31,956,128"
ACR102,2003,ACR-US-102-2003-274-120155966 to 120155970,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155971 to 120155975,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155976 to 120155980,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155981 to 120155985,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155986 to 120155990,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155991 to 120155992,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155993 to 120155997,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155998 to 120156002,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156003 to 120156004,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156005 to 120156006,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156007 to 120156008,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156009 to 120156010,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156011 to 120156012,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156013 to 120156032,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156033 to 120156034,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156035 to 120156036,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156037 to 120156038,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156039 to 120156040,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156041 to 120156045,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156046 to 120156047,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156048 to 120156049,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156050 to 120156054,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156055 to 120156058,4,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156059 to 120156078,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156079 to 120156278,200,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156279 to 120156283,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156284 to 120156303,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156304 to 120156313,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156314 to 120156323,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156324 to 120156327,4,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156328 to 120156337,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156338 to 120156342,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156343 to 120156344,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156345 to 120156384,40,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156385 to 120156389,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156390 to 120156399,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156400 to 120156419,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156420 to 120156459,40,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156460 to 120156479,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156480 to 120156579,100,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156580 to 120156679,100,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156680 to 120156699,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156700 to 120156704,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156705 to 120156750,46,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156751 to 120156790,40,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156791 to 120156830,40,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156831 to 120156910,80,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156911 to 120156960,50,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156961 to 120157000,40,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157001 to 120157060,60,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157061 to 120157065,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157066 to 120157070,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157071 to 120157120,50,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157121 to 120157140,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157141 to 120157145,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157146 to 120157165,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157166 to 120157175,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157176 to 120157180,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157181 to 120157182,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157183 to 120157192,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157193 to 120157199,7,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157200 to 120157201,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157202 to 120157203,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157204 to 120157253,50,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157254 to 120157263,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157264 to 120157267,4,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157268 to 120157272,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157273 to 120157277,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157278 to 120157282,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157283 to 120157292,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157293 to 120157297,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157298 to 120157302,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157303 to 120157304,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157305 to 120157309,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157310 to 120157311,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157312 to 120157331,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157332 to 120157351,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157352 to 120157353,2,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157354 to 120157358,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157359 to 120157368,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157369 to 120157373,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157374 to 120157413,40,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157414 to 120157423,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157424 to 120157433,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157434 to 120157443,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157444 to 120157448,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157449 to 120157458,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157459 to 120157463,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157464 to 120157483,20,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157484 to 120157493,10,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157494 to 120157543,50,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157544 to 120157548,5,1/5/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120157549 to 120157838,290,3/9/2012,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,,,10/31/2005,2012,,,,
ACR102,2003,ACR-US-102-2003-275-194110606 to 194110987,382,1/14/2013,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,"Carbon Capital Advisors, LLC",,,8/2/2006,2013,,,,
ACR102,2003,ACR-US-102-2003-274-120157839 to 120157856,18,1/14/2013,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,"Carbon Capital Advisors, LLC",,,10/31/2005,2013,,,,
ACR102,2005,ACR-US-102-2005-277-197115601 to 197125600,10000,7/28/2014,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,The Climate Trust,,,8/2/2006,2014,,,,
ACR102,2003,ACR-US-102-2003-274-120157857 to 120157864,8,11/13/2014,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2014,,,,
ACR102,2003,ACR-US-102-2003-274-120157865 to 120157881,17,12/18/2014,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2014,,,,
ACR102,2003,ACR-US-102-2003-274-120157882 to 120157889,8,2/3/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157896 to 120157918,23,3/21/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157890 to 120157895,6,3/21/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157919 to 120157931,13,4/20/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157932 to 120157955,24,5/20/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157956 to 120157969,14,6/30/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157970 to 120157980,11,8/5/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157981 to 120158011,31,9/7/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158012 to 120158027,16,9/10/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158048 to 120158078,31,10/19/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158028 to 120158047,20,10/19/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158079 to 120158094,16,11/5/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158095 to 120158156,62,12/29/2015,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,,,10/31/2005,2015,,,,
ACR103,2003,ACR-US-103-2003-265-119247746 to 119247786,41,12/2/2005,Inland Empire Anaerobic Ag Digester,Livestock Waste Management,Version 1.0,,,,,No,Environmental Defense Fund,,,1/1/2005,2005,,,,
ACR103,2003,ACR-US-103-2003-265-119247787 to 119247811,25,12/9/2005,Inland Empire Anaerobic Ag Digester,Livestock Waste Management,Version 1.0,,,,,No,Environmental Defense Fund,,,1/1/2005,2005,,,,
ACR103,2003,ACR-US-103-2003-265-119247812 to 119247911,100,1/10/2007,Inland Empire Anaerobic Ag Digester,Livestock Waste Management,Version 1.0,,,,,No,Environmental Defense Fund,,,1/1/2005,2007,,,,
ACR103,2003,ACR-US-103-2003-265-119248212 to 119248245,34,7/26/2007,Inland Empire Anaerobic Ag Digester,Livestock Waste Management,Version 1.0,,,,,No,Environmental Defense Fund,,,1/1/2005,2007,,,,
